Department,Course Title,Course No.,Related Dept,Related Dept 2,Related Dept 3
HRM,Sustainable Human Resource Management,HRM 409,Management,,
HRM,Strategic Management,HRM 410,Management,,
HRM,Internship,HRM 411,,,
ACCE,Chemical Process Technology-I,ACCE-101,,,
ACCE,Chemical Engineering-I,ACCE-102,,,
ACCE,Environmental Chemistry-I,ACCE-103,Chemistry,Environmental Science,
ACCE,Physical Chemistry-I,ACCE-104,Chemistry,,
ACCE,Inorganic Chemistry-I,ACCE-105,Chemistry,,
ACCE,Organic Chemistry-I,ACCE-106,Chemistry,,
ACCE,Physics-I,ACCE-107,Physics,,
ACCE,Mathematics-I,ACCE-108,Mathematics,,
ACCE,Computer and Information Technology,ACCE-109,CSE,,
ACCE,Lab-I: Inorganic Qualitative Analysis,ACCE-110,Chemistry,,
ACCE,Lab-II: Organic Qualitative Analysis,ACCE-111,Chemistry,,
ACCE,Lab-III: Computer and Information Technology,ACCE-112,CSE,,
ACCE,Chemical Process Technology-II,ACCE-201,,,
ACCE,Chemical Engineering-II,ACCE-202,,,
ACCE,Environmental Chemistry-II,ACCE-203,Chemistry,Environmental Science,
ACCE,Physical Chemistry-II,ACCE-204,Chemistry,,
ACCE,Inorganic Chemistry-II,ACCE-205,Chemistry,,
ACCE,Organic Chemistry-II,ACCE-206,Chemistry,,
ACCE,Physics-II,ACCE-207,Physics,,
ACCE,Mathematics-II,ACCE-208,Mathematics,,
ACCE,Statistics for Applications,ACCE-209,Statistics,,
ACCE,Industrial Economics and Management,ACCE-210,Economics, Management,
ACCE,Lab-IV: Inorganic Quantitative Analysis,ACCE-211,Chemistry,,
ACCE,Lab-V: Physical Chemistry,ACCE-212,Chemistry,,
ACCE,Lab-VI: Chemical Engineering-I,ACCE-213,,,
ACCE,Chemical Process Technology-III,ACCE-301,,,
ACCE,Chemical Engineering-III,ACCE-302,,,
ACCE,Fuel Technology,ACCE-303,,,
ACCE,Polymer Processing Technology,ACCE-304,,,
ACCE,Analytical Chemistry,ACCE-305,Chemistry,Mathematics,
ACCE,Pharmaceutical Process and Technology-I,ACCE-306,,,
ACCE,Metallurgical Engineering,ACCE-307,,,
ACCE,Food Processing Technology,ACCE-308,,,
ACCE,Lab-VII: Chemical Engineering-II,ACCE-309,,,
ACCE,Lab-VIII: Chemical Process Technology-I,ACCE-310,,,
ACCE,Lab-IX: Chemical Process Technology-II,ACCE-311,,,
ACCE,Lab-X: Environmental Technology-I,ACCE-312,Environmental Science,,
ACCE,"Lab-XI: Scientific communication: Written, Oral and Visual",ACCE-313,Commuinication & Journalism,,
ACCE,Chemical Engineering-IV,ACCE-401,,,
ACCE,Pharmaceutical Process and Technology-II,ACCE-402,,,
ACCE,Petrochemical Technology,ACCE-403,,,
ACCE,Instrumental Analysis,ACCE-404,,,
ACCE,Research Methodology,ACCE-405,,,
ACCE,Materials Science and Engineering,ACCE-406,,,
ACCE,Biomedical Engineering,ACCE-407,,,
ACCE,Corrosion Engineering,ACCE-408,,,
ACCE,Lab-XII: Chemical Engineering-III,ACCE-409,,,
ACCE,Lab-XIII: Chemical Process Technology-III,ACCE-410,,,
ACCE,Lab-XIV: Pharmaceutical Process and Technology,ACCE-411,,,
ACCE,Lab-XV: Environmental Technology-II,ACCE-412,Environmental Science,,
ACCE,In-plant Training,ACCE-413,Botany,,
Islamic Studies,Al-Qur’anul Karim,BIS 101,,,
Islamic Studies,Al-Hadith,BIS 102,,,
Islamic Studies,Preaching of Islam,BIS 103,,,
Islamic Studies,Applied Islamic Education,BIS 104,,,
Islamic Studies,Islamic History,BIS 105,History,Islamic History,
Islamic Studies,Functional Arabic,BIS 106,Arabic,,
Islamic Studies,Bangladesh Studies,BIS 107,Bangla,,
Islamic Studies,Arabic Grammar,BIS 108,Arabic,,
Islamic Studies,Special English Course,Eng. 001,English,,
Islamic Studies,At-Tafsir & Principles of Tafsir,BIS 201,,,
Islamic Studies,Al-Hadith & Principles of Hadith,BIS 202,,,
Islamic Studies,Islamic Family Law,BIS 203,LAW,,
Islamic Studies,Inheritance Law,BIS 204,LAW,,
Islamic Studies,Arabic Literature,BIS 205,English, Arabic,
Islamic Studies,Muslim Philosophy,BIS 206,Philosophy,,
Islamic Studies,History of Muslim Rule in Indian Subcontinent,BIS 207,History,,
Islamic Studies,Computer Literacy & ICT,BIS 208,CSE,,
Islamic Studies,At-Tafsir,BIS 301,,,
Islamic Studies,Al-Hadith,BIS 302,,,
Islamic Studies,Principles of Islamic Jurisprudence & Objectives of Shari‘ah,BIS 303,,,
Islamic Studies,Creeds & Theological Sects,BIS 304,Philosophy,,
Islamic Studies,Quranic Science,BIS 305,,,
Islamic Studies,Rhetoric & Miracles of the holy Qur’an,BIS 306,,,
Islamic Studies,Biography of Prophet (ﷺ) & Righteous Khalips (رضي الله عنه),BIS 307,,,
Islamic Studies,Political Thoughts & Public Administration in Islam,BIS 308,Political Science, Public Administration,
Islamic Studies,Comparative Religion,BIS 309,,,
Islamic Studies,At-Tafsir,BIS 401,,,
Islamic Studies,Al-Hadith-I (Sahihul Bukhari),BIS 402,,,
Islamic Studies,Al-Hadith-II (Sahihu Muslim),BIS 403,,,
Islamic Studies,Islamic Jurisprudence and its History,BIS 404,History,,
Islamic Studies,Hadith Science,BIS 405,,,
Islamic Studies,Islamic Literature,BIS 406,English,,
Islamic Studies,Islamic Ideology,BIS 407,,,
Islamic Studies,Sufism,BIS 408,,,
Islamic Studies,Islamic Economics,BIS 409,Economics,,
Islamic Studies,Research Methodology,BIS 410,,,
Islamic Studies,Contemporary Muslim World,BIS 411,,,
Anthropology,Introduction to Anthropology,ANTH-101,,,
Anthropology,Bangladesh Studies,ANTH-102,Bangla,,
Anthropology,Introduction to Archaeology,ANTH-103,,,
Anthropology,"Kinship, Marriage and Family",ANTH-104,,,
Anthropology,Other Culture,ANTH-105,,,
Anthropology,Introduction to Sociology,ANTH-106,Sociology,,
Anthropology,Statistics for Social Research,ANTH-107,Statistics,,
Anthropology,Functional English (Non-Credit),ENG-001,English,,
Anthropology,Anthropological Theory - I,ANTH 201,Philosophy,,
Anthropology,Biological Anthropology,ANTH 202,Philosophy,,
Anthropology,Selected Ethnography,ANTH 203,,,
Anthropology,Political Anthropology,ANTH 204,Political Science,,
Anthropology,Research Methods,ANTH 205,,,
Anthropology,Anthropology of Religion,ANTH 206,,,
Anthropology,Agrarian Anthropology,ANTH 207,,,
Anthropology,Government and Politics,ANTH 208,Political Science,,
Anthropology,Social Thoughts,ANTH 301,,,
Anthropology,Methodological Issues,ANTH 302,Philosophy,,
Anthropology,Linguistic Anthropology,ANTH 303,,,
Anthropology,Economic Anthropology,ANTH 304,,,
Anthropology,Anthropology of Gender,ANTH 305,,,
Anthropology,Ethnicity and Nationalism,ANTH 306,,,
Anthropology,Social Inequality,ANTH 307,,,
Anthropology,Material Culture,ANTH 308,,,
Anthropology,Anthropological Theory - II,ANTH 401,Philosophy,,
Anthropology,Environmental Anthropology,ANTH 402,Environmental Science,,
Anthropology,Anthropology of Development,ANTH 403,Development Studies,,
Anthropology,South Asian Studies,ANTH 404,,,
Anthropology,Urban Anthropology,ANTH 405,,,
Anthropology,Research Monograph,ANTH 406,,,
Anthropology,Comprehensive Examination,ANTH 407,,,
GEB,Introductory Genetic Engineering and Biotechnology,GEB. 101,,,
GEB,Cell Biology and Cytology,GEB. 102,,,
GEB,Genetics and Cytogenetics,GEB. 103,,,
GEB,Basic Biochemistry,GEB. 104,Chemistry,Biochemistry & Molecular Biology,
GEB,Basic Microbiology,GEB. 105,Microbiology,,
GEB,Basic Biology,GEB. 106,,,
GEB,Elementary Mathematics and Calculus,GEB. 107,Mathematics,,
GEB,Biophysical Chemistry,GEB. 108,Chemistry,,
GEB,Fundamentals of Computer and IT,GEB. 109,CSE,,
GEB,"Practical: Intro GEB, Cell Bio, Genetics",GEB. 110,,,
GEB,"Practical: Basic Biochemistry, Basic Microbiology",GEB. 111,Chemistry, Biochemistry & Molecular Biology,
GEB,Practical: Basic Biology,GEB. 112,,,
GEB,"Practical: Biophysical Chemistry, Computer & IT",GEB. 113,CSE, Chemistry,
GEB,Molecular Biology,GEB. 201,Biochemistry & Molecular Biology,,
GEB,Genes and Genomics,GEB. 202,,,
GEB,Plant Breeding,GEB. 203,Botany,,
GEB,Enzymology,GEB. 204,,,
GEB,Metabolism and Bioenergetics,GEB. 205,,,
GEB,Human Physiology,GEB. 206,,,
GEB,Pharmaceutics and Pharmacology,GEB. 207,,,
GEB,Biostatistics and Epidemiology,GEB. 208,Statistics,,
GEB,Organic Chemistry,GEB. 209,Chemistry,,
GEB,"Practical: Molecular Bio, Genes & Genomics, Plant Breeding",GEB. 210,Botany,,
GEB,"Practical: Enzymology, Metabolism & Bioenergetics",GEB. 211,,,
GEB,"Practical: Pharmaceutics & Pharmacology, Biostatistics",GEB. 212,Statistics,,
GEB,"Practical: Human Physiology, Organic Chemistry",GEB. 213,Chemistry,,
GEB,Molecular Genetics,GEB. 301,,,
GEB,Microbial Genetics,GEB. 302,,,
GEB,Developmental and Regeneration Biology,GEB. 303,Development Studies,,
GEB,Endocrinology and Neurobiology,GEB. 304,,,
GEB,Food and Nutrition Biotechnology,GEB. 305,,,
GEB,Clinical Biotechnology,GEB. 306,,,
GEB,Plant Tissue Culture and Cryopreservation Technology,GEB. 307,Botany,,
GEB,Plant Physiology,GEB. 308,Botany,,
GEB,Metabolism,GEB. 309,,,
GEB,Bioinformatics,GEB. 310,,,
GEB,"Practical: Molecular Genetics, Microbial Genetics",GEB. 311,,,
GEB,"Practical: Dev. Bio, Food & Nutrition, Plant Tissue Culture",GEB. 312,Botany,,
GEB,"Practical: Clinical Biotechnology, Bioinformatics",GEB. 313,,,
GEB,"Practical: Endocrinology, Metabolism, Plant Physiology",GEB. 314,Botany,,
GEB,Advanced Molecular Biology,GEB. 401,Biochemistry & Molecular Biology,,
GEB,Recombinant DNA Technology,GEB. 402,,,
GEB,Immunology and Immunodiagnostics,GEB. 403,,,
GEB,Agricultural Biotechnology,GEB. 404,,,
GEB,Cell Signaling,GEB. 405,,,
GEB,Microbial Biotechnology,GEB. 406,,,
GEB,Human and Animal Biotechnology,GEB. 407,Zoology,,
GEB,Forensic and Molecular Diagnostics,GEB. 408,,,
GEB,Environmental Biotechnology,GEB. 409,Environmental Science,,
GEB,Entrepreneurship in Biotechnology,GEB. 410,,,
GEB,Research Methodology and Biosafety Regulations,GEB. 411,,,
GEB,"Practical: Advanced Molecular Biology, Recombinant DNA",GEB. 412,Biochemistry & Molecular Biology,,
GEB,"Practical: Immunology, Agricultural Biotechnology",GEB. 413,,,
GEB,"Practical: Cell Signaling, Microbial Biotechnology",GEB. 414,,,
GEB,"Practical: Human & Animal Biotech, Forensic Diagnostics",GEB. 415,Zoology,,
GEB,"Practical: Environmental Biotech, Research Methodology",GEB. 416,Environmental Science,,
Statistics,Basic Statistics,STAT-101,,,
Statistics,Theory of Probability,STAT-102,,,
Statistics,Numerical Mathematics,STAT-103,Mathematics,,
Statistics,Linear Algebra,STAT-104,Mathematics,GEB,
Statistics,"Algebra, Geometry and Trigonometry",STAT-105,Mathematics,GEB,
Statistics,Differential & Integral Calculus,STAT-106,Mathematics,,
Statistics,Principles of Economics,STAT-107,Economics,,
Statistics,Financial Statistics,STAT-108,,,
Statistics,Non Credit Compulsory English,STAT-001,English,,
Statistics,Lab -I: Basic Statistics-I,STAT-109,,,
Statistics,Lab -II: Basic Statistics-II,STAT-110,,,
Statistics,Lab -III: Numerical Mathematics & Linear Algebra,STAT-111,Mathematics,GEB,
Statistics,Lab - IV: Data Analysis- I (Excel/Fortran/C++),STAT-112,,,
Statistics,Probability Distributions,STAT-201,,,
Statistics,Sampling Distributions and Order Statistics,STAT-202,,,
Statistics,Advanced Calculus & Differential Equations,STAT-203,Mathematics,,
Statistics,Regression Analysis,STAT-204,,,
Statistics,Economic Statistics & Educational Statistics,STAT-205,,,
Statistics,Real Analysis and Complex Variables,STAT-206,Mathematics,,
Statistics,Development Economics,STAT-207,Economics,"Development Studies
",
Statistics,Data Processing and Statistical Simulation,STAT-208,,,
Statistics,Lab -V: Probability Distribution & Sampling Distribution,STAT-209,,,
Statistics,Lab -VI: Regression Analysis,STAT-210,,,
Statistics,Lab -VII: Economic Statistics and Educational Statistics,STAT-211,,,
Statistics,"Lab -VIII: Data Analysis- II (Simulation, Stata/R)",STAT-212,,,
Statistics,Statistical Inference-I,STAT-301,,,
Statistics,Time Series Analysis & Econometrics,STAT-302,Economics,,
Statistics,Stochastic Process,STAT-303,,,
Statistics,Design of Experiments -I,STAT-304,,,
Statistics,Fundamentals of Sample Survey & Research Methodology,STAT-305,,,
Statistics,Population Studies,STAT-306,,,
Statistics,Industrial & Environmental Statistics,STAT-307,Environmental Science,,
Statistics,Actuarial Statistics,STAT-308,,,
Statistics,Lab -IX: Statistical Inference,STAT-309,,,
Statistics,Lab -X: Time series Analysis & Econometrics,STAT-310,Economics,,
Statistics,Lab -XI: Population Studies,STAT-311,,,
Statistics,Lab -XII: Design of Experiments & Sample Survey,STAT-312,,,
Statistics,Lab -XIII: Industrial & Environmental Statistics,STAT-313,Environmental Science,,
Statistics,Lab -XIV: Data Analysis - III (SPSS and SAS),STAT-314,,,
Statistics,Multivariate Analysis,STAT-401,,,
Statistics,Design of Experiments-II,STAT-402,,,
Statistics,Biostatistics and Epidemiology,STAT-403,,,
Statistics,Applied Econometrics,STAT-404,Economics,,
Statistics,Mathematical Demography,STAT-405,Mathematics,,
Statistics,Statistical Inference - II and Non-parametric Methods,STAT-406,,,
Statistics,Sampling Techniques,STAT-407,,,
Statistics,Operations Research and Linear Programming,STAT-408,CSE,,
Statistics,Statistical Data Mining,STAT-409,,,
Statistics,Lab -XV: Multivariate Analysis,STAT-410,,,
Statistics,Lab -XVI: Design of Experiments and Sampling Techniques,STAT-411,,,
Statistics,Lab -XVII: Demography and Econometric Modeling,STAT-412,,,
Statistics,Lab -XVIII: Statistical Inference-II & Non-parametric Methods,STAT-413,,,
Statistics,Lab -XIX: Operations Research and Linear Programming,STAT-414,CSE,,
Statistics,Lab -XX: Data Analysis-IV (R/SPSS/SAS/Stata),STAT-415,,,
Chemistry,Elementary Physical Chemistry,CHEM-1101,,,
Chemistry,Chemical Thermodynamics,CHEM-1102,Physics,,
Chemistry,Fundamentals of Organic Chemistry,CHEM-1201,,,
Chemistry,Chemistry of Aromatic Compounds,CHEM-1202,,,
Chemistry,Atomic Structure and Periodic Classification of Elements,CHEM-1301,,,
Chemistry,Chemical Bonding,CHEM-1302,,,
Chemistry,Physics-I: Classical Mechanics,CHEM-1501,Physics,,
Chemistry,"Physics-II: Optics, Electricity and Magnetism",CHEM-1502,Physics,,
Chemistry,Mathematics-I: Algebra,CHEM-1503,Mathematics, GEB,
Chemistry,Mathematics-II: Differential and Integral Calculus,CHEM-1504,Mathematics,,
Chemistry,Computer and Information Technology,CHEM-1505,CSE,,
Chemistry,Lab: Application of Computer and Information Technology,CHEM-1506,CSE,,
Chemistry,Lab: Functional Group Analysis,CHEM-1210,,,
Chemistry,Lab: Inorganic Qualitative Analysis,CHEM-1310,,,
Chemistry,Allied Science Lab: Physical Science,CHEM-1510,,,
Chemistry,Class Assessment (Sessional),CHEM-1611,,,
Chemistry,Field Work and Industrial Tour,CHEM-1712,,,
Chemistry,Oral Presentation (Viva-voce),CHEM-1813,,,
Chemistry,Special English Course (Non-Credit),Eng.-001,English,,
Chemistry,Chemical equilibria and phase equilibria,CHEM-2101,,,
Chemistry,Chemical Kinetics and Photochemistry,CHEM-2102,,,
Chemistry,Functional Derivatives of Hydrocarbons,CHEM-2201,,,
Chemistry,"Chemistry of Heterocycles, Nitrogen and Sulphur Compounds",CHEM-2202,,,
Chemistry,Chemistry of Elements,CHEM-2301,,,
Chemistry,Principles of Inorganic Quantitative Analysis,CHEM-2302,,,
Chemistry,Allied Science: Atmospheric and Aquatic Chemistry,CHEM-2501,,,
Chemistry,Allied Science: Renewable Energy and Nanotechnology,CHEM-2502,,,
Chemistry,Allied Science: Medicinal Chemistry,CHEM-2503,,,
Chemistry,Allied Science: Food Chemistry and Preservatives,CHEM-2504,,,
Chemistry,Allied Science: Environmental Chemistry,CHEM-2505,Environmental Science,,
Chemistry,Allied Science: Safety and Security of Laboratory Chemicals,CHEM-2506,,,
Chemistry,Physical Chemistry Lab-I,CHEM-2110,,,
