Merit,Department
292,Dept. of Computer Science and Engineering
293,Dept. of Biochemistry and Molecular Biology
295,Dept. of Biochemistry and Molecular Biology
301,Dept. of Biochemistry and Molecular Biology
302,Dept. of Microbiology
303,Dept. of Computer Science and Engineering
304,Dept. of Applied Chemistry and Chemical Engineering
305,Dept. of Computer Science and Engineering
306,Dept. of Computer Science and Engineering
307,Dept. of Computer Science and Engineering
308,Dept. of Microbiology
310,Dept. of Computer Science and Engineering
311,Dept. of Microbiology
313,Dept. of Microbiology
321,Dept. of Computer Science and Engineering
324,Dept. of Computer Science and Engineering
326,Dept. of Microbiology
330,Dept. of Microbiology
331,Dept. of Applied Chemistry and Chemical Engineering
332,Dept. of Microbiology
335,Dept. of Microbiology
338,Dept. of Computer Science and Engineering
340,Dept. of Microbiology
343,Dept. of Microbiology
344,Dept. of Computer Science and Engineering
345,Dept. of Applied Chemistry and Chemical Engineering
346,Dept. of Microbiology
348,Dept. of Computer Science and Engineering
351,Dept. of Computer Science and Engineering
352,Dept. of Microbiology
355,Dept. of Computer Science and Engineering
356,Dept. of Microbiology
357,Dept. of Microbiology
360,Dept. of Computer Science and Engineering
361,Dept. of Microbiology
363,Dept. of Applied Chemistry and Chemical Engineering
365,Dept. of Computer Science and Engineering
367,Dept. of Microbiology
368,Dept. of Microbiology
369,Dept. of Microbiology
371,Dept. of Microbiology
372,Dept. of Microbiology
376,Dept. of Applied Chemistry and Chemical Engineering
377,Dept. of Microbiology
379,Dept. of Applied Chemistry and Chemical Engineering
380,Dept. of Applied Chemistry and Chemical Engineering
384,Dept. of Microbiology
386,Dept. of Microbiology
387,Dept. of Microbiology
396,Dept. of Applied Chemistry and Chemical Engineering
399,Dept. of Applied Chemistry and Chemical Engineering
400,Dept. of Applied Chemistry and Chemical Engineering
401,Dept. of Microbiology
405,Dept. of Microbiology
407,Dept. of Microbiology
410,Dept. of Microbiology
412,Dept. of Microbiology
413,Dept. of Microbiology
418,Dept. of Microbiology
419,Dept. of Microbiology
420,Dept. of Microbiology
421,Dept. of Microbiology
422,Dept. of Microbiology
424,Dept. of Applied Chemistry and Chemical Engineering
425,Dept. of Applied Chemistry and Chemical Engineering
426,Dept. of Applied Chemistry and Chemical Engineering
428,Dept. of Microbiology
429,Dept. of Applied Chemistry and Chemical Engineering
430,Dept. of Microbiology
431,Dept. of Applied Chemistry and Chemical Engineering
433,Dept. of Applied Chemistry and Chemical Engineering
434,Dept. of Applied Chemistry and Chemical Engineering
436,Dept. of Applied Chemistry and Chemical Engineering
437,Dept. of Applied Chemistry and Chemical Engineering
