Merit,Department
13,Dept. of English
16,Dept. of English
22,Dept. of English
46,Dept. of Bangla
47,Dept. of Bangla
52,Dept. of History
56,Dept. of Bangla
59,Dept. of Islamic Studies
61,Institute of Education and Research
65,Dept. of English
66,Dept. of English
72,Dept. of English
80,Dept. of Bangla
82,Institute of Education and Research
84,Dept. of English
104,Dept. of Bangla
110,Dept. of Bangla
112,Dept. of History
122,Dept. of English
137,Dept. of English
140,Dept. of History
141,Dept. of Bangla
161,Dept. of English
168,Dept. of English
170,Dept. of Bangla
176,Dept. of English
182,Dept. of English
183,Dept. of History
190,Dept. of English
193,Institute of Modern Languages
200,Institute of Education and Research
202,Dept. of English
203,Dept. of Bangla
211,Dept. of Bangla
213,Dept. of English
216,Dept. of Bangla
222,Dept. of Bangla
226,Dept. of English
231,Dept. of History
243,Institute of Education and Research
251,Dept. of History
253,Dept. of Bangla
254,Dept. of Philosophy
258,Dept. of Bangla
259,Institute of Education and Research
268,Dept. of History
275,Dept. of Islamic History and Culture
277,Dept. of Bangla
279,Dept. of Bangla
280,Dept. of Bangladesh Studies
282,Dept. of Bangla
287,Dept. of Bangla
290,Dept. of Bangla
292,Dept. of Bangla
300,Dept. of English
311,Dept. of English
313,Institute of Education and Research
331,Institute of Education and Research
333,Dept. of Bangla
335,Institute of Education and Research
339,Dept. of History
343,Dept. of Bangla
352,Dept. of Bangla
355,Institute of Education and Research
357,Dept. of English
367,Dept. of Bangla
368,Dept. of English
375,Dept. of Bangla
377,Dept. of Bangla
384,Dept. of Bangla
386,Dept. of Bangla
387,Dept. of Bangla
388,Dept. of Bangla
389,Dept. of Bangla
392,Dept. of History
393,Dept. of Bangla
400,Dept. of Bangla
405,Dept. of History
407,Dept. of English
411,Dept. of Bangla
418,Dept. of Bangla
425,Dept. of Bangla
429,Dept. of Bangla
431,Dept. of Bangla
432,Dept. of History
438,Dept. of History
442,Dept. of Bangla
444,Dept. of Bangla
445,Dept. of Bangla
446,Dept. of English
450,Dept. of Bangla
453,Dept. of Bangla
462,Institute of Education and Research
463,Dept. of Bangla
464,Dept. of Bangla
465,Dept. of History
466,Dept. of Bangla
470,Dept. of Bangla
472,Dept. of Bangla
477,Dept. of History
479,Dept. of History
481,Dept. of Islamic History and Culture
482,Dept. of History
483,Dept. of History
485,Dept. of History
486,Dept. of Bangla
490,Dept. of English
492,Institute of Education and Research
496,Dept. of Bangla
500,Dept. of Bangla
505,Dept. of Bangla
509,Dept. of Bangla
512,Dept. of Bangla
518,Dept. of Bangla
522,Dept. of Bangla
525,Dept. of History
528,Dept. of History
530,Dept. of Bangla
538,Dept. of Islamic Studies
540,Dept. of History
550,Dept. of Arabic
554,Dept. of Bangla
560,Dept. of Bangla
561,Dept. of History
563,Dept. of Bangladesh Studies
564,Dept. of Arabic
565,Institute of Education and Research
567,Institute of Education and Research
568,Dept. of Bangla
570,Dept. of Bangla
578,Dept. of History
584,Dept. of History
585,Dept. of Bangla
588,Dept. of Philosophy
591,Institute of Education and Research
594,Dept. of Bangla
595,Dept. of Bangla
599,Dept. of English
602,Dept. of History
609,Dept. of Bangla
611,Dept. of History
612,Dept. of Bangla
614,Institute of Education and Research
615,Dept. of Islamic History and Culture
620,Dept. of History
622,Dept. of Islamic History and Culture
623,Dept. of English
638,Dept. of Bangla
639,Dept. of Bangla
644,Dept. of Bangla
645,Dept. of Bangladesh Studies
646,Dept. of Philosophy
649,Dept. of Islamic Studies
650,Dept. of Bangla
651,Dept. of Bangla
652,Dept. of Bangla
656,Institute of Modern Languages
658,Institute of Education and Research
661,Dept. of Islamic History and Culture
662,Dept. of Bangladesh Studies
663,Institute of Education and Research
664,Dept. of Arabic
665,Dept. of Bangla
667,Dept. of History
668,Dept. of Philosophy
673,Dept. of Bangla
674,Dept. of English
675,Institute of Education and Research
676,Dept. of Bangla
677,Dept. of Bangla
678,Dept. of History
679,Dept. of Bangla
680,Dept. of Bangla
683,Dept. of Bangla
684,Dept. of Bangla
685,Dept. of History
689,Dept. of Bangla
697,Dept. of Bangla
698,Dept. of Bangla
699,Dept. of Bangladesh Studies
700,Dept. of Arabic
701,Dept. of Bangla
703,Dept. of History
704,Dept. of English
708,Dept. of Bangla
709,Dept. of English
713,Dept. of Islamic History and Culture
716,Dept. of Bangla
719,Dept. of Bangla
722,Dept. of History
724,Dept. of Islamic History and Culture
727,Dept. of Bangla
729,Dept. of Bangla
730,Dept. of Islamic Studies
733,Dept. of Bangla
734,Dept. of Islamic History and Culture
736,Dept. of Bangla
739,Dept. of Bangla
740,Dept. of Bangla
745,Dept. of Bangla
746,Dept. of Bangla
760,Dept. of History
761,Dept. of Bangla
762,Dept. of Islamic History and Culture
763,Dept. of Bangla
765,Dept. of Bangla
766,Dept. of Bangla
767,Dept. of Bangla
779,Dept. of History
781,Dept. of Bangla
782,Dept. of Bangla
786,Dept. of Bangla
787,Dept. of Philosophy
789,Dept. of English
792,Dept. of Bangla
798,Dept. of English
799,Dept. of Bangla
801,Dept. of Bangla
802,Dept. of Bangla
803,Dept. of English
808,Dept. of Philosophy
816,Dept. of History
831,Dept. of History
