Merit,Department
1,Dept. of Pharmacy
2,Dept. of Computer Science and Engineering
3,Dept. of Pharmacy
6,Dept. of Pharmacy
8,Dept. of Pharmacy
10,Dept. of Computer Science and Engineering
11,Dept. of Pharmacy
15,Dept. of Pharmacy
16,Dept. of Pharmacy
18,Dept. of Computer Science and Engineering
19,Dept. of Pharmacy
20,Dept. of Computer Science and Engineering
21,Dept. of Pharmacy
22,Dept. of Pharmacy
23,Dept. of Biochemistry and Molecular Biology
24,Dept. of Pharmacy
25,Dept. of Pharmacy
27,Dept. of Pharmacy
28,Dept. of Genetic Engineering and Biotechnology
30,Dept. of Genetic Engineering and Biotechnology
33,Dept. of Applied Chemistry and Chemical Engineering
34,Dept. of Computer Science and Engineering
36,Dept. of Pharmacy
38,Dept. of Pharmacy
39,Dept. of Pharmacy
40,Dept. of Pharmacy
41,Dept. of Pharmacy
42,Dept. of Pharmacy
43,Dept. of Genetic Engineering and Biotechnology
44,Dept. of Applied Chemistry and Chemical Engineering
45,Dept. of Pharmacy
46,Dept. of Pharmacy
48,Dept. of Computer Science and Engineering
49,Dept. of Computer Science and Engineering
60,Dept. of Applied Chemistry and Chemical Engineering
50,Dept. of Pharmacy
51,Dept. of Pharmacy
52,Dept. of Computer Science and Engineering
53,Dept. of Genetic Engineering and Biotechnology
54,Dept. of Pharmacy
55,Dept. of Pharmacy
56,Dept. of Computer Science and Engineering
57,Dept. of Biochemistry and Molecular Biology
58,Dept. of Applied Chemistry and Chemical Engineering
59,Dept. of Pharmacy
61,Dept. of Pharmacy
62,Dept. of Pharmacy
63,Dept. of Genetic Engineering and Biotechnology
64,Dept. of Genetic Engineering and Biotechnology
65,Dept. of Pharmacy
66,Dept. of Applied Chemistry and Chemical Engineering
67,Dept. of Computer Science and Engineering
68,Dept. of Pharmacy
69,Dept. of Microbiology
70,Dept. of Computer Science and Engineering
71,Dept. of Applied Chemistry and Chemical Engineering
72,Dept. of Microbiology
73,Dept. of Electrical and Electronic Engineering
77,Dept. of Computer Science and Engineering
78,Dept. of Computer Science and Engineering
81,Dept. of Genetic Engineering and Biotechnology
82,Dept. of Computer Science and Engineering
83,Dept. of Biochemistry and Molecular Biology
84,Dept. of Biochemistry and Molecular Biology
86,Dept. of Computer Science and Engineering
88,Dept. of Computer Science and Engineering
89,Dept. of Electrical and Electronic Engineering
91,Dept. of Computer Science and Engineering
92,Dept. of Biochemistry and Molecular Biology
94,Dept. of Genetic Engineering and Biotechnology
96,Dept. of Computer Science and Engineering
98,Dept. of Computer Science and Engineering
99,Dept. of Applied Chemistry and Chemical Engineering
100,Dept. of Biochemistry and Molecular Biology
101,Dept. of Biochemistry and Molecular Biology
103,Dept. of Microbiology
104,Dept. of Genetic Engineering and Biotechnology
107,Dept. of Electrical and Electronic Engineering
108,Dept. of Computer Science and Engineering
109,Dept. of Biochemistry and Molecular Biology
111,Dept. of Computer Science and Engineering
112,Dept. of Computer Science and Engineering
113,Dept. of Biochemistry and Molecular Biology
114,Dept. of Biochemistry and Molecular Biology
115,Dept. of Computer Science and Engineering
117,Dept. of Computer Science and Engineering
118,Dept. of Computer Science and Engineering
120,Dept. of Genetic Engineering and Biotechnology
122,Dept. of Computer Science and Engineering
123,Dept. of Genetic Engineering and Biotechnology
126,Dept. of Mathematics
128,Dept. of Genetic Engineering and Biotechnology
129,Dept. of Genetic Engineering and Biotechnology
130,Dept. of Microbiology
131,Dept. of Computer Science and Engineering
133,Dept. of Genetic Engineering and Biotechnology
134,Dept. of Computer Science and Engineering
135,Dept. of Biochemistry and Molecular Biology
137,Dept. of Computer Science and Engineering
138,Dept. of Computer Science and Engineering
139,Dept. of Applied Chemistry and Chemical Engineering
140,Dept. of Computer Science and Engineering
143,Dept. of Computer Science and Engineering
144,Dept. of Computer Science and Engineering
147,Dept. of Genetic Engineering and Biotechnology
148,Dept. of Genetic Engineering and Biotechnology
149,Dept. of Chemistry
150,Dept. of Fisheries
151,Dept. of Electrical and Electronic Engineering
152,Dept. of Computer Science and Engineering
153,Dept. of Computer Science and Engineering
155,Dept. of Genetic Engineering and Biotechnology
156,Dept. of Genetic Engineering and Biotechnology
158,Dept. of Microbiology
160,Dept. of Electrical and Electronic Engineering
161,Dept. of Biochemistry and Molecular Biology
162,Dept. of Biochemistry and Molecular Biology
163,Dept. of Computer Science and Engineering
165,Dept. of Genetic Engineering and Biotechnology
168,Dept. of Computer Science and Engineering
169,Dept. of Microbiology
170,Dept. of Computer Science and Engineering
171,Dept. of Computer Science and Engineering
173,Dept. of Computer Science and Engineering
174,Dept. of Computer Science and Engineering
175,Dept. of Genetic Engineering and Biotechnology
176,Dept. of Computer Science and Engineering
177,Dept. of Biochemistry and Molecular Biology
178,Dept. of Biochemistry and Molecular Biology
179,Dept. of Genetic Engineering and Biotechnology
181,Dept. of Computer Science and Engineering
182,Dept. of Microbiology
183,Dept. of Biochemistry and Molecular Biology
184,Dept. of Microbiology
185,Dept. of Genetic Engineering and Biotechnology
186,Dept. of Computer Science and Engineering
187,Dept. of Genetic Engineering and Biotechnology
188,Dept. of Computer Science and Engineering
190,Dept. of Microbiology
191,Dept. of Microbiology
192,Dept. of Genetic Engineering and Biotechnology
193,Dept. of Genetic Engineering and Biotechnology
194,Dept. of Computer Science and Engineering
195,Dept. of Computer Science and Engineering
196,Dept. of Genetic Engineering and Biotechnology
197,Dept. of Electrical and Electronic Engineering
199,Dept. of Biochemistry and Molecular Biology
200,Dept. of Computer Science and Engineering
203,Dept. of Genetic Engineering and Biotechnology
204,Dept. of Biochemistry and Molecular Biology
205,Dept. of Computer Science and Engineering
206,Dept. of Computer Science and Engineering
208,Dept. of Computer Science and Engineering
209,Dept. of Electrical and Electronic Engineering
211,Dept. of Genetic Engineering and Biotechnology
213,Dept. of Electrical and Electronic Engineering
214,Dept. of Biochemistry and Molecular Biology
217,Dept. of Computer Science and Engineering
218,Dept. of Biochemistry and Molecular Biology
219,Dept. of Computer Science and Engineering
220,Dept. of Computer Science and Engineering
221,Dept. of Computer Science and Engineering
222,Dept. of Genetic Engineering and Biotechnology
223,Dept. of Computer Science and Engineering
224,Dept. of Biochemistry and Molecular Biology
225,Dept. of Biochemistry and Molecular Biology
226,Dept. of Biochemistry and Molecular Biology
227,Dept. of Genetic Engineering and Biotechnology
229,Dept. of Genetic Engineering and Biotechnology
230,Dept. of Genetic Engineering and Biotechnology
231,Dept. of Computer Science and Engineering
232,Dept. of Computer Science and Engineering
233,Dept. of Computer Science and Engineering
234,Dept. of Computer Science and Engineering
236,Dept. of Computer Science and Engineering
239,Dept. of Biochemistry and Molecular Biology
240,Dept. of Genetic Engineering and Biotechnology
242,Dept. of Microbiology
244,Dept. of Computer Science and Engineering
245,Dept. of Biochemistry and Molecular Biology
246,Dept. of Genetic Engineering and Biotechnology
247,Dept. of Genetic Engineering and Biotechnology
248,Dept. of Computer Science and Engineering
249,Dept. of Applied Chemistry and Chemical Engineering
250,Dept. of Biochemistry and Molecular Biology
251,Dept. of Biochemistry and Molecular Biology
252,Dept. of Computer Science and Engineering
254,Dept. of Electrical and Electronic Engineering
255,Dept. of Biochemistry and Molecular Biology
256,Dept. of Applied Chemistry and Chemical Engineering
257,Dept. of Biochemistry and Molecular Biology
258,Dept. of Microbiology
260,Dept. of Computer Science and Engineering
261,Dept. of Biochemistry and Molecular Biology
262,Dept. of Microbiology
263,Dept. of Electrical and Electronic Engineering
265,Dept. of Electrical and Electronic Engineering
266,Dept. of Electrical and Electronic Engineering
267,Dept. of Biochemistry and Molecular Biology
268,Dept. of Microbiology
269,Dept. of Electrical and Electronic Engineering
270,Dept. of Electrical and Electronic Engineering
272,Dept. of Biochemistry and Molecular Biology
273,Dept. of Microbiology
274,Dept. of Electrical and Electronic Engineering
275,Dept. of Biochemistry and Molecular Biology
276,Dept. of Electrical and Electronic Engineering
