Merit,Department
14,Dept. of English
62,Dept. of English
66,Dept. of Islamic Studies
84,Dept. of English
120,Dept. of Bangla
121,Dept. of English
123,Dept. of English
129,Institute of Modern Languages
135,Dept. of Bangla
150,Dept. of Bangla
166,Dept. of English
171,Dept. of Bangla
175,Dept. of English
183,Dept. of Bangladesh Studies
192,Dept. of Bangla
204,Dept. of Bangla
206,Dept. of Bangla
215,Dept. of Bangla
218,Dept. of Bangla
223,Dept. of Bangla
225,Dept. of Bangla
230,Dept. of English
231,Dept. of English
242,Dept. of History
245,Dept. of English
250,Dept. of Bangla
252,Dept. of History
265,Dept. of Bangla
267,Dept. of Bangla
272,Dept. of English
281,Dept. of Bangla
285,Dept. of Bangla
286,Institute of Education and Research
294,Dept. of Bangla
299,Dept. of Bangla
301,Dept. of Bangla
307,Dept. of Bangla
312,Dept. of English
314,Dept. of Bangla
316,Dept. of Bangla
317,Dept. of Bangla
319,Dept. of Arabic
324,Dept. of Bangla
325,Dept. of Bangla
327,Dept. of Islamic History and Culture
328,Dept. of English
350,Institute of Education and Research
352,Dept. of Islamic History and Culture
354,Dept. of English
355,Dept. of Bangla
360,Dept. of Bangla
362,Dept. of Bangla
363,Dept. of Bangla
370,Dept. of Islamic History and Culture
371,Dept. of Bangla
373,Dept. of Bangla
376,Dept. of English
379,Dept. of English
381,Dept. of Bangla
384,Dept. of English
385,Dept. of Bangla
393,Dept. of Bangla
394,Dept. of History
397,Dept. of History
411,Dept. of History
414,Dept. of Bangla
417,Dept. of Bangla
419,Dept. of Bangla
424,Dept. of Bangla
431,Dept. of Bangla
436,Dept. of History
438,Dept. of Bangla
439,Dept. of History
441,Dept. of Islamic History and Culture
443,Dept. of Bangla
451,Dept. of History
463,Institute of Education and Research
464,Dept. of Bangla
474,Dept. of History
476,Dept. of Bangla
485,Dept. of Bangla
487,Dept. of Bangla
488,Dept. of History
497,Dept. of Bangla
498,Dept. of Bangla
499,Dept. of Islamic History and Culture
508,Dept. of Bangla
517,Dept. of Bangla
519,Dept. of Bangla
520,Dept. of History
523,Dept. of Bangla
526,Dept. of Bangla
531,Dept. of Bangladesh Studies
541,Dept. of Bangla
542,Dept. of Bangla
545,Institute of Education and Research
547,Dept. of Bangla
548,Dept. of Bangla
550,Dept. of Bangla
554,Institute of Education and Research
557,Dept. of Islamic History and Culture
558,Dept. of Bangla
559,Dept. of History
560,Dept. of Islamic Studies
561,Dept. of Bangla
562,Dept. of Islamic History and Culture
567,Dept. of Bangla
569,Dept. of Bangla
578,Dept. of Bangla
582,Dept. of Bangla
584,Dept. of Bangla
585,Dept. of Bangla
586,Dept. of Bangla
591,Dept. of Bangla
597,Dept. of Arabic
598,Dept. of Islamic Studies
599,Dept. of Islamic History and Culture
601,Dept. of Islamic History and Culture
603,Dept. of Bangla
604,Dept. of Bangla
609,Dept. of History
610,Dept. of Bangla
619,Dept. of Bangla
623,Dept. of Bangla
631,Dept. of Bangla
632,Dept. of Bangla
633,Dept. of Bangla
636,Dept. of History
640,Dept. of Bangladesh Studies
641,Dept. of Bangla
648,Dept. of Islamic History and Culture
653,Dept. of Bangla
654,Dept. of Bangla
655,Dept. of History
658,Dept. of Bangla
660,Dept. of Bangla
661,Dept. of History
663,Dept. of Bangla
664,Dept. of Islamic History and Culture
665,Dept. of Islamic History and Culture
666,Dept. of Bangla
667,Dept. of Bangla
676,Dept. of History
680,Dept. of Islamic History and Culture
685,Dept. of Bangla
693,Dept. of Islamic History and Culture
697,Dept. of English
702,Dept. of Bangla
704,Dept. of Bangla
708,Dept. of Bangla
710,Dept. of Bangla
718,Dept. of Islamic History and Culture
721,Dept. of Bangla
724,Dept. of Bangla
725,Dept. of Bangla
728,Dept. of Bangla
729,Dept. of Bangla
730,Dept. of Bangla
733,Dept. of Bangla
734,Dept. of Philosophy
735,Dept. of History
736,Institute of Education and Research
738,Dept. of History
743,Dept. of History
744,Dept. of Islamic History and Culture
760,Dept. of Bangla
767,Dept. of Bangla
769,Dept. of Bangla
772,Dept. of Bangla
773,Dept. of Bangla
776,Dept. of English
784,Dept. of Bangla
785,Dept. of History
787,Dept. of Bangla
794,Dept. of Bangla
796,Dept. of History
798,Dept. of Bangla
801,Dept. of Bangla
808,Dept. of Islamic History and Culture
812,Dept. of History
813,Dept. of English
814,Dept. of History
815,Dept. of Philosophy
816,Dept. of Bangla
817,Dept. of History
818,Dept. of English
819,Dept. of Bangla
820,Dept. of Bangla
828,Dept. of Bangla
842,Dept. of Bangla
850,Dept. of Arabic
856,Dept. of History
859,Dept. of Bangladesh Studies
860,Dept. of History
862,Dept. of Islamic History and Culture
865,Dept. of History
866,Dept. of English
867,Dept. of History
868,Dept. of History
875,Dept. of Arabic
882,Dept. of History
886,Dept. of History
889,Dept. of History
895,Dept. of History
906,Dept. of Islamic History and Culture
907,Dept. of History
910,Dept. of History
911,Dept. of Islamic History and Culture
914,Dept. of History
917,Dept. of History
919,Dept. of History
922,Dept. of History
929,Institute of Education and Research
930,Dept. of History
936,Institute of Education and Research
938,Dept. of History
939,Dept. of Islamic History and Culture
946,Dept. of Islamic History and Culture
949,Dept. of History
950,Dept. of History
951,Dept. of History
952,Dept. of History
955,Dept. of English
957,Dept. of History
960,Dept. of Islamic History and Culture
963,Dept. of Arabic
964,Dept. of History
966,Dept. of History
972,Dept. of English
973,Dept. of History
974,Dept. of English
975,Dept. of History
979,Dept. of History
984,Institute of Education and Research
986,Dept. of History
988,Dept. of History
991,Dept. of Islamic History and Culture
992,Dept. of History
997,Dept. of History
999,Dept. of History
1000,Dept. of Islamic History and Culture
1004,Institute of Education and Research
1006,Dept. of History
1011,Dept. of History
1020,Dept. of Islamic Studies
1023,Dept. of History
1025,Dept. of History
1027,Dept. of History
1028,Dept. of History
1030,Dept. of History
1036,Dept. of History
1040,Dept. of History
1042,Dept. of Islamic History and Culture
1044,Dept. of History
1046,Dept. of Philosophy
1049,Dept. of History
1063,Dept. of History
1069,Dept. of History
1070,Dept. of Islamic History and Culture
1075,Dept. of History
1076,Dept. of History
1086,Dept. of History
1087,Institute of Education and Research
1092,Dept. of History
1094,Dept. of History
1097,Dept. of History
1098,Dept. of History
1100,Dept. of History
1101,Dept. of History
1114,Dept. of Islamic History and Culture
1117,Dept. of History
1118,Dept. of History
1121,Dept. of History
1123,Dept. of History
1131,Dept. of History
1135,Institute of Education and Research
1138,Dept. of Islamic History and Culture
1142,Dept. of History
1144,Dept. of English
1148,Dept. of Islamic History and Culture
1149,Dept. of History
1152,Dept. of History
1154,Institute of Education and Research
1155,Dept. of History
1157,Dept. of History
1159,Dept. of History
1160,Dept. of History
1165,Dept. of History
1173,Dept. of History
1174,Institute of Education and Research
1177,Dept. of History
1178,Dept. of History
1191,Dept. of History
1194,Dept. of History
1197,Dept. of History
1198,Dept. of History
1200,Dept. of History
1204,Dept. of History
1207,Dept. of History
1208,Dept. of History
1210,Dept. of English
1213,Institute of Education and Research
1218,Dept. of History
1219,Dept. of History
1221,Dept. of History
1238,Dept. of Islamic History and Culture
1244,Dept. of Philosophy
1245,Dept. of History
1247,Dept. of History
1248,Dept. of History
1253,Dept. of History
1256,Dept. of English
1258,Dept. of Islamic History and Culture
1259,Dept. of Islamic History and Culture
1261,Dept. of Islamic History and Culture
1264,Dept. of Philosophy
1267,Dept. of History
1268,Dept. of History
1270,Dept. of Philosophy
1271,Dept. of History
1272,Dept. of History
1273,Dept. of English
1276,Dept. of History
1277,Dept. of Philosophy
1279,Dept. of History
1283,Dept. of Arabic
1290,Dept. of History
1293,Dept. of Islamic History and Culture
1294,Dept. of History
1299,Institute of Education and Research
1306,Dept. of History
1307,Dept. of History
1308,Dept. of Islamic History and Culture
1310,Dept. of Islamic History and Culture
1314,Institute of Education and Research
1315,Dept. of Islamic History and Culture
1320,Dept. of Islamic History and Culture
1321,Dept. of Islamic History and Culture
1323,Dept. of Islamic History and Culture
1325,Dept. of Bangladesh Studies
1329,Dept. of Islamic History and Culture
1331,Dept. of Philosophy
1333,Dept. of Islamic History and Culture
1344,Dept. of Islamic History and Culture
1354,Dept. of Islamic History and Culture
1356,Dept. of Islamic History and Culture
1360,Dept. of Islamic History and Culture
1363,Dept. of Bangladesh Studies
1365,Institute of Education and Research
1368,Dept. of Islamic History and Culture
1372,Dept. of Philosophy
1375,Dept. of Islamic History and Culture
1377,Dept. of Philosophy
1381,Dept. of Islamic History and Culture
1382,Institute of Modern Languages
1383,Dept. of Islamic History and Culture
1384,Institute of Education and Research
1386,Dept. of Philosophy
1388,Dept. of Bangladesh Studies
1389,Dept. of Islamic History and Culture
1390,Institute of Education and Research
1391,Dept. of Philosophy
1392,Dept. of Islamic History and Culture
1393,Dept. of Islamic History and Culture
1394,Dept. of Islamic History and Culture
1396,Dept. of Islamic History and Culture
1397,Dept. of Philosophy
1400,Institute of Education and Research
1402,Dept. of Philosophy
1404,Dept. of Sanskrit
1411,Dept. of Islamic History and Culture
1415,Dept. of Philosophy
1416,Dept. of Islamic History and Culture
1417,Dept. of Islamic History and Culture
1422,Dept. of Islamic History and Culture
1423,Dept. of Islamic History and Culture
1426,Institute of Education and Research
1427,Dept. of Islamic History and Culture
1430,Dept. of Islamic History and Culture
1433,Dept. of Islamic History and Culture
1435,Dept. of Islamic History and Culture
1436,Dept. of Islamic History and Culture
1437,Dept. of Philosophy
1442,Dept. of Islamic History and Culture
1443,Dept. of Islamic History and Culture
1444,Institute of Education and Research
1448,Dept. of Islamic History and Culture
1452,Dept. of Bangladesh Studies
1454,Institute of Education and Research
1455,Institute of Education and Research
1458,Institute of Education and Research
1459,Dept. of Islamic History and Culture
1460,Dept. of Islamic History and Culture
1461,Dept. of Islamic History and Culture
1464,Dept. of Islamic History and Culture
1468,Dept. of Islamic History and Culture
1471,Dept. of Islamic History and Culture
1473,Dept. of Islamic History and Culture
1478,Dept. of Islamic History and Culture
1484,Dept. of Philosophy
1486,Dept. of Islamic Studies
1490,Dept. of Islamic Studies
1491,Dept. of Islamic History and Culture
1492,Dept. of Islamic History and Culture
1493,Dept. of Islamic History and Culture
1496,Dept. of Philosophy
1497,Dept. of English
1498,Dept. of Islamic History and Culture
1500,Dept. of Islamic Studies
1507,Dept. of Islamic History and Culture
1511,Dept. of Islamic History and Culture
1513,Dept. of Islamic History and Culture
1514,Dept. of Islamic History and Culture
1516,Dept. of Islamic History and Culture
1522,Dept. of Islamic Studies
1530,Dept. of Islamic History and Culture
1532,Dept. of Islamic History and Culture
1534,Dept. of Islamic History and Culture
1535,Dept. of Philosophy
1543,Dept. of Islamic History and Culture
1549,Dept. of Islamic History and Culture
1554,Dept. of Islamic History and Culture
1559,Dept. of Islamic History and Culture
1561,Dept. of Islamic History and Culture
1563,Dept. of Islamic History and Culture
1564,Dept. of Philosophy
1567,Dept. of Islamic History and Culture
1575,Dept. of Islamic History and Culture
1585,Dept. of Islamic History and Culture
1589,Dept. of Islamic History and Culture
1591,Dept. of Islamic History and Culture
1592,Dept. of Philosophy
1595,Dept. of Bangladesh Studies
