Merit,Department
1,Dept. of Pharmacy
2,Dept. of Pharmacy
5,Dept. of Pharmacy
7,Dept. of Pharmacy
11,Dept. of Computer Science and Engineering
13,Dept. of Pharmacy
14,Dept. of Pharmacy
21,Dept. of Pharmacy
23,Dept. of Pharmacy
38,Dept. of Pharmacy
40,Dept. of Computer Science and Engineering
42,Dept. of Applied Chemistry and Chemical Engineering
52,Dept. of Biochemistry and Molecular Biology
54,Dept. of Computer Science and Engineering
55,Dept. of Pharmacy
58,Dept. of Pharmacy
60,Dept. of Pharmacy
64,Dept. of Pharmacy
65,Dept. of Pharmacy
67,Dept. of Pharmacy
69,Dept. of Pharmacy
73,Dept. of Pharmacy
75,Dept. of Pharmacy
78,Dept. of Pharmacy
79,Dept. of Pharmacy
85,Dept. of Pharmacy
86,Dept. of Pharmacy
89,Dept. of Pharmacy
90,Dept. of Pharmacy
92,Dept. of Pharmacy
96,Dept. of Computer Science and Engineering
98,Dept. of Pharmacy
101,Dept. of Pharmacy
104,Dept. of Pharmacy
105,Dept. of Pharmacy
114,Dept. of Pharmacy
116,Dept. of Genetic Engineering and Biotechnology
117,Dept. of Genetic Engineering and Biotechnology
118,Dept. of Genetic Engineering and Biotechnology
119,Dept. of Biochemistry and Molecular Biology
120,Dept. of Genetic Engineering and Biotechnology
122,Dept. of Genetic Engineering and Biotechnology
130,Dept. of Genetic Engineering and Biotechnology
132,Dept. of Biochemistry and Molecular Biology
134,Dept. of Genetic Engineering and Biotechnology
137,Dept. of Mathematics
140,Dept. of Genetic Engineering and Biotechnology
141,Dept. of Microbiology
143,Dept. of Genetic Engineering and Biotechnology
144,Dept. of Biochemistry and Molecular Biology
145,Dept. of Genetic Engineering and Biotechnology
146,Dept. of Applied Chemistry and Chemical Engineering
149,Dept. of Computer Science and Engineering
152,Dept. of Genetic Engineering and Biotechnology
154,Dept. of Genetic Engineering and Biotechnology
156,Dept. of Applied Chemistry and Chemical Engineering
160,Dept. of Genetic Engineering and Biotechnology
162,Dept. of Genetic Engineering and Biotechnology
165,Dept. of Genetic Engineering and Biotechnology
