Merit,Department
603,Dept. of Bangla
604,Dept. of Bangla
605,Dept. of Bangla
609,Dept. of History
610,Dept. of English
612,Dept. of Philosophy
613,Dept. of Bangla
617,Dept. of Bangla
618,Institute of Education and Research
619,Dept. of History
620,Dept. of History
621,Dept. of History
622,Dept. of Islamic History and Culture
623,Dept. of History
624,Dept. of History
627,Dept. of History
628,Dept. of History
629,Dept. of History
630,Dept. of History
631,Dept. of History
632,Dept. of History
634,Dept. of History
635,Dept. of History
636,Dept. of History
638,Dept. of History
639,Dept. of History
641,Dept. of Islamic History and Culture
642,Dept. of History
643,Dept. of History
644,Dept. of English
645,Dept. of History
646,Dept. of History
648,Dept. of History
649,Dept. of History
651,Dept. of History
657,Dept. of Islamic History and Culture
662,Dept. of History
663,Dept. of History
664,Institute of Education and Research
666,Dept. of History
668,Dept. of History
669,Dept. of Bangladesh Studies
670,Dept. of History
671,Dept. of English
674,Dept. of English
675,Institute of Education and Research
677,Dept. of History
678,Dept. of History
679,Dept. of English
680,Dept. of History
682,Dept. of History
684,Dept. of Islamic History and Culture
686,Dept. of History
687,Dept. of History
691,Dept. of History
692,Dept. of English
694,Dept. of English
696,Dept. of Islamic History and Culture
698,Dept. of Islamic History and Culture
700,Dept. of History
703,Dept. of History
705,Dept. of History
707,Dept. of History
709,Dept. of History
710,Dept. of History
711,Dept. of History
714,Dept. of History
715,Institute of Education and Research
716,Dept. of English
717,Dept. of History
718,Institute of Education and Research
725,Dept. of History
727,Dept. of Islamic Studies
728,Dept. of Islamic History and Culture
731,Dept. of Islamic History and Culture
732,Dept. of English
733,Dept. of History
734,Dept. of History
737,Dept. of History
738,Dept. of History
741,Dept. of History
742,Dept. of History
743,Dept. of English
744,Dept. of History
745,Dept. of History
748,Dept. of History
749,Dept. of History
750,Dept. of Islamic History and Culture
751,Dept. of History
753,Dept. of History
757,Dept. of History
759,Dept. of History
761,Dept. of History
762,Dept. of History
763,Dept. of History
764,Dept. of English
765,Dept. of History
766,Dept. of English
767,Dept. of History
770,Dept. of Bangladesh Studies
772,Dept. of History
773,Dept. of Islamic History and Culture
776,Dept. of Bangladesh Studies
777,Dept. of History
778,Dept. of History
780,Dept. of History
783,Dept. of Philosophy
784,Dept. of History
786,Dept. of English
787,Dept. of Islamic History and Culture
791,Dept. of Islamic History and Culture
792,Dept. of Bangladesh Studies
796,Institute of Education and Research
797,Dept. of Philosophy
798,Institute of Education and Research
800,Dept. of Islamic History and Culture
801,Dept. of Philosophy
803,Dept. of English
804,Dept. of Bangladesh Studies
805,Dept. of Islamic History and Culture
807,Dept. of Islamic History and Culture
808,Dept. of English
809,Dept. of Philosophy
810,Dept. of Islamic History and Culture
814,Dept. of Islamic Studies
815,Dept. of Philosophy
817,Dept. of Islamic History and Culture
818,Dept. of Islamic Studies
819,Institute of Education and Research
820,Dept. of English
827,Dept. of Islamic History and Culture
828,Dept. of Islamic History and Culture
829,Dept. of Philosophy
830,Dept. of Philosophy
833,Institute of Education and Research
834,Dept. of English
835,Dept. of Philosophy
837,Dept. of Philosophy
838,Institute of Education and Research
839,Dept. of Bangladesh Studies
840,Dept. of Islamic History and Culture
841,Dept. of English
842,Dept. of Bangladesh Studies
844,Dept. of Islamic History and Culture
847,Dept. of Philosophy
848,Institute of Education and Research
849,Dept. of Islamic History and Culture
850,Dept. of Islamic History and Culture
852,Dept. of Islamic History and Culture
853,Dept. of Islamic History and Culture
854,Dept. of Philosophy
855,Dept. of Islamic History and Culture
862,Dept. of Islamic Studies
863,Dept. of Philosophy
864,Institute of Education and Research
867,Dept. of Islamic History and Culture
868,Dept. of English
869,Dept. of Islamic History and Culture
870,Dept. of Islamic History and Culture
873,Dept. of Islamic Studies
874,Dept. of Islamic History and Culture
875,Institute of Education and Research
876,Dept. of Philosophy
877,Institute of Education and Research
878,Dept. of Philosophy
879,Dept. of Bangladesh Studies
882,Dept. of Islamic History and Culture
884,Dept. of Philosophy
886,Dept. of Islamic History and Culture
887,Dept. of Islamic History and Culture
889,Dept. of English
892,Dept. of Philosophy
894,Dept. of Islamic History and Culture
895,Dept. of Islamic History and Culture
896,Dept. of Islamic History and Culture
897,Institute of Education and Research
901,Dept. of Islamic History and Culture
902,Dept. of Philosophy
903,Dept. of Islamic History and Culture
904,Dept. of Philosophy
905,Dept. of Bangladesh Studies
906,Dept. of Islamic History and Culture
909,Institute of Education and Research
910,Dept. of Islamic History and Culture
911,Dept. of Islamic History and Culture
912,Institute of Education and Research
913,Dept. of English
914,Dept. of Philosophy
917,Dept. of Bangladesh Studies
919,Dept. of Islamic History and Culture
920,Dept. of Islamic History and Culture
922,Dept. of Philosophy
926,Dept. of Philosophy
927,Institute of Education and Research
932,Dept. of Philosophy
934,Institute of Education and Research
936,Dept. of Islamic History and Culture
937,Institute of Education and Research
939,Dept. of Islamic History and Culture
940,Dept. of Bangladesh Studies
941,Dept. of Islamic History and Culture
942,Dept. of Islamic History and Culture
944,Dept. of Islamic History and Culture
946,Dept. of Islamic History and Culture
947,Dept. of Islamic History and Culture
950,Dept. of Islamic History and Culture
951,Institute of Education and Research
953,Dept. of Islamic History and Culture
956,Institute of Education and Research
957,Dept. of Islamic History and Culture
958,Dept. of Philosophy
960,Dept. of Islamic History and Culture
961,Dept. of Bangladesh Studies
962,Dept. of Islamic History and Culture
963,Dept. of Philosophy
964,Dept. of Philosophy
965,Dept. of Islamic History and Culture
966,Dept. of Bangladesh Studies
968,Dept. of Islamic History and Culture
970,Dept. of English
971,Dept. of Philosophy
973,Dept. of Islamic History and Culture
974,Institute of Education and Research
975,Dept. of Islamic History and Culture
976,Dept. of Islamic History and Culture
978,Dept. of English
980,Institute of Modern Languages
985,Dept. of Philosophy
986,Dept. of Philosophy
987,Dept. of Islamic History and Culture
988,Institute of Education and Research
989,Dept. of Islamic Studies
991,Institute of Education and Research
995,Dept. of Philosophy
997,Dept. of Islamic History and Culture
999,Dept. of Philosophy
1000,Dept. of Bangladesh Studies
1003,Dept. of Bangladesh Studies
1005,Dept. of Islamic History and Culture
1006,Dept. of Islamic History and Culture
1007,Dept. of Islamic History and Culture
1008,Dept. of Philosophy
1009,Institute of Education and Research
1012,Dept. of English
1013,Dept. of Islamic History and Culture
1015,Dept. of Philosophy
1016,Dept. of Islamic History and Culture
